log name	QR[raw data]:	QR[count]	QR[total_time]	AR[pixelperM]	AR[count]	AR[total_time]	AR[target_pos]	AR[target_point(xy plane)]	AR[Robot Position]	x_error	y_error	total_error	PointA_time	Snapshot_time	Mission_time	
"preliminary path 3s delay p1 t1"	" {"p":1,"x":11.31,"y":-9.80,"z":5.27}"	"  1"	"  5909"	" 713.6015976428747"	" 1"	"  6030"	" 0.009379884435388584, -0.4679255208998288"	" 0.785, -0.3753255208998288"	" 11.10997988443539, -32.88929873024104"	0.036260995000000004	-0.5211987180000001	0.523217354	00:38.656000	01:05.816000	01:53.696000
"preliminary path 3s delay p3 t1"	" {"p":3,"x":11.03,"y":-9.80,"z":5.23}"	"  3"	"  15064"	" 722.5383650878315"	" 2"	"  15945"	" -0.019137692191212138, -0.43647696563638894"	" 0.785, -0.3438769656363889"	" 11.081462307808788, -31.104845270329005"	0.065822605	-0.340394092	0.347000617	00:49.720000	01:32.104000	02:24.192000
"preliminary path 3s delay p4 t1"	" {"p":4,"x":11.10,"y":-9.80,"z":5.26}"	"  1"	"  6406"	" 725.3623091375483"	" 1"	"  9684"	" -0.018116798757550408, -0.45845343434200675"	" 0.785, -0.36585343434200673"	" 11.08248320124245, -32.35838843895852"	-6.699975673999999	-1.010591861	6.775765961	00:41.704000	01:15.064000	02:04.240000
"preliminary path 3s delay p5 t1"	" {"p":5,"x":11.09,"y":-9.80,"z":5.47}"	"  1"	"  5209"	" 717.0257461514212"	" 1"	"  6034"	" 0.033011257966741675, -0.47786226797916487"	" 0.785, -0.38526226797916485"	" 11.133611257966743, -33.44016136858882"	-0.0041011009999999985	-0.019773424	0.039463912000000004	00:37.632000	01:05.440000	01:55.568000
"preliminary path 3s delay p7 t1"	" {"p":7,"x":11.32,"y":-9.80,"z":5.50}"	"  2"	"  9286"	" 719.8325240636985"	" 1"	"  4251"	" 0.019774978304713392, -0.4762975470309253"	" 0.785, -0.3836975470309253"	" 11.120374978304714, -33.35383219196738"	-0.9009776539999999	-0.054358669000000005	0.902927373	00:40.760000	01:05.296000	01:53.768000
"preliminary path 3s delay prd t1"	" {"p":6,"x":11.11,"y":-9.80,"z":5.51}"	"  1"	"  6356"	" 718.2599532863504"	" 1"	"  6270"	" 0.049161846492516384, -0.4757866045459826"	" 0.785, -0.3831866045459826"	" 11.149761846492517, -33.32560880847523"	-0.07528687699999999	0.24233262399999997	0.2546576019999999	00:37.912000	01:04.728000	01:54.344000
"preliminary path 3s delay p1 t2"	" {"p":1,"x":11.34,"y":-9.80,"z":5.25}"	"  4"	"  17238"	" 722.0782363105083"	" 1"	"  10240"	" 0.05167489931640403, -0.4423147475620333"	" 0.785, -0.3497147475620333"	" 11.152274899316405, -31.440792697631153"	-0.088166284	0.593865316	0.600901041	00:51.216000	01:23.048000	02:12.680000
"preliminary path 3s delay p2 t1"	" {"p":2,"x":11.04,"y":-9.80,"z":5.24}"	"  1"	"  6819"	" 721.1427199670267"	" 1"	"  3622"	" -0.010662058215012775, -0.42358982629179015"	" 0.785, -0.33098982629179013"	" 11.089937941784989, -30.35568502604997"	0.07677943200000001	-0.485255216	0.4916016570000001	00:38.040000	01:05.264000	01:53.160000
"preliminary path 3s delay p8 t1"	" {"p":8,"x":11.30,"y":-9.80,"z":5.25}"	"  2"	"  12748"	" 720.2027785747829"	" 1"	"  6096"	" 0.009730840978989363, -0.461707459186912"	" 0.785, -0.36910745918691196"	" 11.11033084097899, -32.5414150065858"	-1.211318704	-0.251891305	1.237417619	00:43.944000	01:13.520000	02:05.168000
"preliminary path 3s delay p3 t2"	" {"p":3,"x":11.11,"y":-9.80,"z":5.27}"	"  1"	"  8668"	" 716.4360702568878"	" 1"	"  5545"	" 0.036256680317031824, -0.4666108138018154"	" 0.785, -0.3740108138018154"	" 11.136856680317033, -32.81594797051487"	-0.058152074	0.014751006	0.06480897999999999	00:40.600000	01:06.192000	01:54.680000
"preliminary path 3s delay p4 t2"	" {"p":4,"x":11.11,"y":-9.80,"z":5.26}"	"  4"	"  15826"	" 720.9201705318663"	" 1"	"  8238"	" 0.025373366186683673, -0.433117710566825"	" 0.785, -0.340517710566825"	" 11.125973366186685, -30.910562735964874"	0.069259355	0.065257548	0.09546489200000001	00:46.344000	01:16.272000	02:05.936000
"preliminary path 3s delay p5 t2"	" {"p":5,"x":11.10,"y":-9.80,"z":5.45}"	"  4"	"  14066"	" 719.033421292403"	" 1"	"  7203"	" 0.045466478262822026, -0.42984193991578085"	" 0.785, -0.33724193991578083"	" 11.146066478262822, -30.72042942121598"	-0.03842105999999999	0.23895424800000004	0.24269053999999998	00:45.880000	01:13.344000	02:04.080000
"preliminary path 3s delay p6 t2"	" {"p":6,"x":11.13,"y":-9.80,"z":5.45}"	"  2"	"  11629"	" 720.0016677379359"	" 1"	"  10190"	" 0.04465817597709222, -0.42852252671618274"	" 0.785, -0.3359225267161827"	" 11.145258175977093, -30.643658432629373"	-0.032090569	0.25856383299999997	0.262310056	00:42.992000	01:14.120000	02:04.200000
"preliminary path 3s delay p7 t2"	" {"p":7,"x":11.25,"y":-9.80,"z":5.44}"	"  2"	"  9727"	" 731.3691602443283"	" 1"	"  8478"	" -0.061484225846977505, -0.42409003696973735"	" 0.785, -0.33149003696973733"	" 11.039115774153023, -30.384956563967894"	-5.507091588	-0.9276592300000001	5.584684458	00:44.088000	01:18.536000	02:08.448000
"preliminary path 3s delay p8 t2"	" {"p":8,"x":11.27,"y":-9.80,"z":5.26}"	"  2"	"  12976"	" 721.6394698375542"	" 1"	"  3772"	" -0.01334173428772234, -0.47613344040001465"	" 0.785, -0.38353344040001464"	" 11.08725826571228, -33.34476908812701"	0.0028453969999999973	-0.20556579900000002	0.210768677	00:43.176000	01:08.728000	01:57.912000
"1.5s delay between read p1 t1"	" {"p":1,"x":11.27,"y":-9.80,"z":5.25}"	"  3"	"  10560"	" 723.1685530667222"	" 1"	"  8788"	" 0.012128780294915053, -0.4673240587998113"	" 0.785, -0.3747240587998113"	" 11.112728780294916, -32.85575522212275"	-0.092650805	0.123607771	0.16245320800000002	00:40.040000	01:13.408000	02:04.048000
"1.5s delay between read p2 t1"	" {"p":2,"x":11.05,"y":-9.80,"z":5.22}"	"  2"	"  8828"	" 734.6358380520963"	" 1"	"  6927"	" -0.07877907513771677, -0.4303117702584932"	" 0.785, -0.3377117702584932"	" 11.021820924862284, -30.74774061204551"	-6.850203209999999	-1.224430855	6.958777847	00:36.792000	01:10.152000	01:59.608000
"1.5s delay between read p3 t1"	" {"p":3,"x":11.04,"y":-9.80,"z":5.23}"	"  3"	"  9616"	" 736.5448269762869"	" 1"	"  7383"	" -0.08161326718492551, -0.4443268509096545"	" 0.785, -0.3517268509096545"	" 11.018986732815076, -31.556088197520232"	-6.553699169000001	-0.996767713	6.629082934	00:39.352000	01:12.248000	02:02.224000
"1.5s delay between read p4 t1"	" {"p":4,"x":11.05,"y":-9.80,"z":5.20}"	"  3"	"  12882"	" 715.7057083292945"	" 1"	"  7498"	" 0.0542982407004264, -0.4446705221780297"	" 0.785, -0.3520705221780297"	" 11.154898240700428, -31.575755488047207"	-0.158431204	0.081117949	0.179044025	00:41.400000	01:09.312000	02:00.456000
"1.5s delay between read p5 t1"	" {"p":5,"x":11.11,"y":-9.80,"z":5.45}"	"  4"	"  11261"	" 720.5124556941918"	" 1"	"  8277"	" 0.046212858066100926, -0.4295794354952053"	" 0.785, -0.33697943549520526"	" 11.146812858066102, -30.705164068467838"	0.035013602000000005	0.252290484	0.255497123	00:40.208000	01:08.840000	01:58.352000
"1.5s delay between read p6 t1"	" {"p":6,"x":11.05,"y":-9.80,"z":5.45}"	"  5"	"  16039"	" 723.2968794808256"	" 1"	"  8040"	" -0.010694198936052779, -0.41282071397629627"	" 0.785, -0.32022071397629626"	" 11.089905801063948, -29.72172838799667"	0.17039523399999998	-0.240636077	0.29608497100000003	00:44.480000	01:16.760000	02:08.520000
"1.5s delay between read p1 t2"	" {"p":1,"x":11.28,"y":-9.80,"z":5.24}"	"  5"	"  15441"	" 717.8373611295616"	" 1"	"  9363"	" 0.025662956849508253, -0.4460628148278428"	" 0.785, -0.3534628148278428"	" 11.126262956849509, -31.655356384105005"	0.343843059	-0.192927886	0.394422854	00:43.008000	01:14.448000	02:06.176000
"1.5s delay between read p2 t2"	" {"p":2,"x":11.12,"y":-9.80,"z":5.21}"	"  4"	"  14306"	" 716.16423493379"	" 1"	"  7748"	" 0.05419258477660936, -0.43170037038654757"	" 0.785, -0.33910037038654756"	" 11.15479258477661, -30.828379266539628"	0.02319989	0.134178556	0.13835578899999998	00:43.968000	01:12.176000	02:03.888000
"1.5s delay between read p3 t2"	" {"p":3,"x":11.07,"y":-9.80,"z":5.20}"	"  3"	"  11229"	" 718.9186752003628"	" 1"	"  7123"	" 0.026625964220847554, -0.4113239873916698"	" 0.785, -0.3187239873916698"	" 11.127225964220848, -29.633050967271462"	0.168578998	-0.097106839	0.197144668	00:39.984000	01:07.144000	01:57.080000
"1.5s delay between read p7 t1"	" {"p":7,"x":11.31,"y":-9.80,"z":5.47}"	"  6"	"  19910"	" 724.0013014673992"	" 1"	"  4981"	" 0.013342664770569515, -0.43520598922623516"	" 0.785, -0.34260598922623514"	" 11.11394266477057, -31.0314213417594"	0.09191300200000002	0.084896568	0.12515356	00:48.928000	01:15.896000	02:05.968000
"1.5s delay between read p8 t1"	" {"p":8,"x":11.29,"y":-9.80,"z":5.22}"	"  5"	"  15223"	" 720.6803786653223"	" 1"	"  8112"	" 0.027943542630947033, -0.4183594999172568"	" 0.785, -0.3257594999172568"	" 11.128543542630949, -30.048683644331874"	0.130344146	0.0046477110000000006	0.135128279	00:44.304000	01:12.376000	02:05.592000
