log name	QR[raw data]:	QR[count]	QR[total_time]	AR[pixelperM]	AR[count]	AR[total_time]	AR[target_pos]	AR[target_point(xy plane)]	AR[Robot Position]	x_error	y_error	total_error	PointA_time	Snapshot_time	Mission_time	
"move x offset by 0.01 m t3"	" {"p":6,"x":11.10,"y":-9.80,"z":5.48}"	"  1"	"  7911"	" 711.8795670288865"	" 1"	"  9026"	" 0.11779444867421346, -0.4607819506074595"	" 0.785, -0.3681819506074595"	" 11.128394448674213, -32.48942663098646"	-0.4759098030000001	-0.161488111	0.50294716	00:42.584000	01:11.680000	02:01.408000
"moved a, changed qr crop coordinate t3"	" {"p":4,"x":11.06,"y":-9.80,"z":5.20}"	"  1"	"  5534"	" 717.0741165120286"	" 1"	"  10050"	" 0.16231234882246232, -0.4158401838185342"	" 0.785, -0.3232401838185342"	" 11.112912348822462, -29.900203430474136"	-0.777886312	0.245195622	0.8156592369999999	00:38.264000	01:09.152000	01:59.032000
"move x offset by 0.01 m t1"	" {"p":1,"x":11.28,"y":-9.80,"z":5.21}"	"  1"	"  6133"	" 717.4330795193749"	" 1"	"  8116"	" 0.09811366377573853, -0.43052859783186287"	" 0.785, -0.33792859783186285"	" 11.108713663775738, -30.760340131884707"	-0.13368173	-0.14824256400000002	0.200240358	00:40.952000	01:10.688000	02:01.448000
"moved a, changed qr crop coordinate t1"	" {"p":5,"x":11.07,"y":-9.80,"z":5.46}"	"  2"	"  8125"	" 707.5556077427326"	" 1"	"  4458"	" 0.19579028298107332, -0.464150235192562"	" 0.785, -0.371550235192562"	" 11.146390282981073, -32.67837285450524"	-0.33741951299999995	-0.6119087619999999	0.6994823670000001	00:40.192000	01:10.472000	02:01.560000
"moved a, changed qr crop coordinate t2"	" {"p":7,"x":11.29,"y":-9.80,"z":5.45}"	"  1"	"  13865"	" 710.4801835048171"	" 1"	"  9357"	" 0.16564530401551222, -0.4197707185715229"	" 0.785, -0.3271707185715229"	" 11.116245304015512, -30.131684371364024"	-0.585441691	-0.15984648799999998	0.606928793	00:48.936000	01:22.024000	02:14.288000
"move x offset by 0.01 m t2"	" {"p":3,"x":11.07,"y":-9.80,"z":5.25}"	"  3"	"  12078"	" 714.3312729249704"	" 1"	"  7270"	" 0.08830407389689614, -0.44290545036109136"	" 0.785, -0.35030545036109134"	" 11.098904073896895, -31.47466689591412"	0.610639048	-0.245868924	0.658771293	00:43.384000	01:12.272000	02:03.664000
"moved a, changed qr-ar crop coordinate t5"	" {"p":7,"x":11.28,"y":-9.80,"z":5.48}"	"  2"	"  8849"	" 708.5990037232785"	" 1"	"  7859"	" 0.18640470105276136, -0.47943513184443076"	" 0.785, -0.38683513184443075"	" 11.137004701052762, -33.52678373841997"	-0.690201773	-0.374139223	0.785806751	00:40.232000	01:11.200000	02:00.784000
"moved a, changed qr-ar crop coordinate t6"	" {"p":8,"x":11.27,"y":-9.80,"z":5.27}"	"  2"	"  10224"	" 710.1272477190606"	" 1"	"  5302"	" 0.15340472392737403, -0.4534070812681519"	" 0.785, -0.36080708126815186"	" 11.104004723927375, -32.073229786519775"	-0.504506855	-0.17778880400000002	0.5353533950000001	00:43.128000	01:09.936000	02:00.456000
"moved a, changed qr-ar crop coordinate t4"	" {"p":4,"x":11.11,"y":-9.80,"z":5.26}"	"  1"	"  11439"	" 708.5233964246005"	" 1"	"  15468"	" 0.19536988333667826, -0.4607552564372749"	" 0.785, -0.36815525643727487"	" 11.14596988333668, -32.487926343765196"	-0.6357314969999999	-0.4833731520000001	0.798882191	00:44.056000	01:21.144000	02:13.456000
"moved a adjust offset t1"	" {"p":3,"x":11.05,"y":-9.80,"z":5.22}"	"  1"	"  6316"	" 711.122197045055"	" 1"	"  11104"	" 0.1475339801602402, -0.44086309684865105"	" 0.785, -0.347863096848651"	" 11.09853398016024, -31.334466861576484"	-0.5669714559999999	-0.02978886	0.5680336560000001	00:38.784000	01:10.688000	02:00.520000
